Employee Name,Employee ID,Currently active,Availability Date,Available Hours,Employee Country,Current Project Name,Manager,Travel Preference,Employee Email ID,Languages,CLAIM Start Date,CLAIM Discontinue Date,Billable,Primary Job Role,Primary Skill Set,Service City,Service State/Province,Staffing Reviewer Notes ID,Manager Notes ID,Hire Date Range,Client Name,Project Manager Name,Project Manager Email ID,Project Manager Serial,Project Manager Country,Skill 2,Experience,Rating,Contact,Designation
Kenneth Berry,00450P744,Y,30-07-2018,40,India,SAP BI TAC A1,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Application Developer,SAP.BOBJ,Jaipur,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628677,India,Python,1,1,9576152312,Jr.softwareEngineer
Fred Jacobson,00818F744,N,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Test Specialist,SAP.ABAP,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D3215,United States of America,Python,1,2,9873214562,Jr.softwareEngineer
Alexis Ross,00554K744,N,1/1/2020,40,India,Oracle JDE RICE TAC A1,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Packaged Application,JDE,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D4572,United States of America,Python,1,3,9653214895,Jr.softwareEngineer
Danny Arnold,00696V744,N,30-07-2018,40,India,SAP BI TAC A2,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Project Manager,Java.core,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628678,India,Python,2,4,9863214567,Sr.softwareEngineer
Michael Vasquez,00340B744,Y,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Technical Assistant,Custom Application,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D5929,United States of America,Python,4,5,9654781234,Sr.softwareEngineer
Juan Campbell,00538P744,N,1/1/2020,40,India,Oracle JDE RICE TAC A2,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Application Developer,SAP.ABAP,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D7286,United States of America,Python,7,1,9576152312,Jr.softwareEngineer
Heather Smith,00130H744,Y,30-07-2018,40,India,SAP BI TAC A3,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Test Specialist,COBOL,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628679,India,Python,2,2,9873214562,Jr.softwareEngineer
Michael Caldwell,00118Y744,N,31-12-2018,40,India,EA SAP  ABAP TAC,"JONNALAGADLA, NS",No Value Available,sabirunnisa.n@in.ibm.com,English; Hindi; Kannada; Urdu,30-01-2016,31-12-1999,Y,Packaged Application,Application Maintenance & Support,BANGALORE,KA ,Naga Ss Jonnalagadla/India/IBM@IBMIN,Naga Ss Jonnalagadla/India/IBM@IBMIN,Over 24 mo,EY GLOBAL SERVICES LIMITED (P),"JOSHI, PC",Prasad C Joshi/Atlanta/IBM@IBMUS,7D8643,United States of America,Python,3,3,9653214895,Jr.softwareEngineer
Christopher Torres,00402P744,Y,1/1/2020,40,India,Oracle JDE RICE TAC A3,"PADHI, NR",No Value Available,niti2014@in.ibm.com,English; Hindi,6/6/2015,31-12-1999,Y,Project Manager,Java.Spring & Hibernate,NOIDA,UP ,Nihar R Padhi/India/IBM@IBMIN,Nihar R Padhi/India/IBM@IBMIN,Over 24 mo,"POST HOLDINGS, INC.","ROSFELD, JW",Jason W Rosfeld/Cincinnati/IBM@IBMUS,7D10000,United States of America,Python,7,4,9863214567,Sr.softwareEngineer
Joel Farrell,00219K744,N,30-07-2018,40,India,SAP BI TAC A4,"ARORA, K",No Value Available,lovlee12@in.ibm.com,English; Hindi; Punjabi,25-11-2017,31-12-1999,Y,Technical Assistant,c#.NET,GURGAON,HR ,Kuldeep Arora/India/IBM@IBMIN,Kuldeep Arora/India/IBM@IBMIN,Over 24 mo,HEINZ CO HJ,"BANERJEE, R",Ranadeep Banerjee/India/IBM@IBMIN,628680,India,Python,3,5,9654781234,Sr.softwareEngineer
